All,Všetky
None,Žiadne
"Allowed Scopes","Povolené rozsahy"
"You need more permissions to apply some of the rule updates.","Potrebujete vyššie oprávnenie pre aktualizácie pravidla."
"You need more permissions to access website ""%1"".","Nemáte dostatočné oprávnenie na prístup k webstránke ""%1""."
"Role Scopes","Rozsahy Roly"
Custom,Vlastné
"Read Details","Prečítať Podrobnosti"
"Mark as Read","Označiť ako prečítané"
"Are you sure?","Ste si istí?"
Remove,Odstrániť
"Messages Inbox","Schárnka prijatých správ"
"You have %1 new system messages","Máte %1 nových systémových správ"
"You have %1 new system message","Máte %1 novú systémovú správu"
"Incoming Message","Prijata správa"
close,zatvoriť
Notifications,Oznámenia
"The message has been marked as Read.","Správa bola označená ako prečítaná."
"We couldn't mark the notification as Read because of an error.","Z dôvodu chyby nebolo možné označiť oznámenie ako prečítané."
"Please select messages.","Prosím vyberte správy."
"A total of %1 record(s) have been marked as Read.","Celkom %1 záznam(ov) bol(o) označený(ch) ako prečítané."
"Total of %1 record(s) have been removed.","Celkom %1 záznam(ov) bol(o) odstráný(ch)."
"We couldn't remove the messages because of an error.","Z dôvodu chyby nebolo možné odstrániť chybu."
"The message has been removed.","Správa bola odstránená."
"1 Hour","1 hodina"
"2 Hours","2 hodiny"
"6 Hours","6 hodín"
"12 Hours","12 hodín"
"24 Hours","24 hodín"
critical,kritické
major,hlavné
minor,vedlajšie
notice,oznámenie
"Wrong message type","Nesprávny typ správy"
"Wrong notification ID specified.","Zadané nesprávne ID oznámenia."
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","Neodoporučujeme používať {{base_url}} v produkčnom nasadení ako základnú Zabezpečenú/Nezabezpečenú URL adresu. Dôrazne odpučujeme zmeniť toto nastavenie v <a href=""%1"">konfigurácii</a> Magenta."
"One or more of the Cache Types are invalidated: %1. ","Jeden alebo viac typov dočastných zostáv sú neaktuálne: %1. "
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","Prosím, choďte na <a href=""%1"">Správa dočastných zostáv</a> a aktualizujte."
"We were unable to synchronize one or more media files. Please refer to the log file for details.","Nebolo možné synchronizovať jeden alebo viac súborov médii. Pre viac informácii zkontroluj v systémovom zázname."
"Synchronization of media storages has been completed.","Dokončená synchronizácia skladov médií."
"Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.","Webový server je nastavený tak, že umožňuje neoprávnený prístup k citlivým súborom. Obráťte sa na svojho poskytovateľa hostingu."
"System Messages:","Systémové správy:"
"Critical System Messages","Kritické systémové hlásenia"
"Major System Messages","Hlavné systémové hlásenia"
"System messages","Systémové správy"
Close,Zavrieť
"See All (","Zobraziť všetky ("
" unread)"," neprečítané)"
"Show Toolbar","Zobraziť panel s nástrojmi"
"Show List","Zobraziť zoznam"
"Use HTTPS to Get Feed","Získajte Feed pomocou HTTPS"
"Update Frequency","Frekvencia aktualizácií"
"Last Update","Posledná aktualizácia"
Severity,Závažnosť
"Date Added","Datum pridania"
Message,Správa
Actions,Akcie
"Manage Shopping Cart","Spravovať nákupný košík"
"Create Order","Vytvoriť objednávku"
Back,Späť
"Add Products","Pridať produkty"
"Update Items and Quantities","Aktualizovať položky a množstvo"
"Are you sure you want to clear your cart?","Naozaj chcete vyprázdniť košík?"
"Clear my shopping cart","Vyprázdniť nákupný košík"
"Add selections to my cart","Pridať výber do košíku"
Cancel,Zrušiť
"Shopping Cart for %1 in %2","Nákupný košík pre %1 v %2"
"Select products you want to buy","Vyberte produkty, ktoré si chcete kúpiť"
Product,Produkt
Price,Cena
Quantity,Množstvo
"Products in the Comparison List (%1)","Produkty v porovnaní (%1)"
"Last ordered items (%1)","Posledné objednané položky (%1)"
Products,Produkty
SKU,"Katalógové číslo"
"Recently Compared Products (%1)","Nedávno v porovnané produkty (%1)"
"Recently Viewed Products (%1)","Nedávno prezerané produkty (%1)"
"Add to Shopping Cart by SKU","Pridať do nákupného košíka podľa katalógového čísla"
"Add to Shopping Cart","Pridať do nákupného košíka"
"Wish List (%1)","Zoznam prianí (%1)"
Apply,Použiť
Configure,Nastaviť
"Add to Order by SKU","Pridať do objednávky podľa katalógového čísla"
"Add to Order","Pridať do objednávky"
"Add Products to Order","Pridať produkty k objednávke"
"<span><span id=""sku-attention-num"">%1</span> product(s) require attention.</span>","<span><span id=""sku-attention-num"">%1</span> výrobky vyžadujú pozornosť.</span>"
"Remove All","Odstrániť všetky"
"Only %1%2%3 left in stock","Len %1%2%3 ostáva na sklade"
"You can buy up to %1 of these per purchase.","Môžete si kúpiť maximálne %1 z nich v jednom nákupe."
"You must buy at least %1 of these per purchase.","Musíte si kúpiť aspoň %1 z nich v jednom nákupe."
"Specify the product's options.","Vyberte možnosti produktu."
"Alert me when this item is available.","Upozorniťe ma, keď bude táto položka k dispozícii."
"Shopping cart management is disabled for this customer.","Pre tohoto zákazníka nieje možné spravovať nákupný košík."
Customers,Zákazníci
"Shopping Cart","Nákupný košík"
"You do not have access to this.","K tomuto nemáte prístup."
"An error has occurred. See error log for details.","Vyskytla sa chyba. Pre viac informácií si, prosím, prezrite záznamu konzoly."
"You cannot configure a product.","Nemožete nakonfigurovať produkt."
"You removed the items.","Odstránili ste položky."
"You removed the item.","Odstránili ste položku."
"You added %1 to your shopping cart.","Pridali ste %1 do Vašeho nákupního košíku."
"You cannot add a product.","Nemôžete pridať produkt."
"Order by SKU","Zoradiť podľa katalógového čísla"
"The SKU was not found in the catalog.","SKU sa v katalógu nenašlo."
"Availability: Out of stock.","Dostupnosť: vypredané."
